,ZIP,LAT,LNG
0,00601,18.180555,-66.749961
1,00602,18.361945000000002,-67.175597
2,00603,18.455182999999998,-67.119887
3,00606,18.158345,-66.932911
4,00610,18.295366,-67.125135
5,00612,18.402252999999998,-66.71139699999999
6,00616,18.420412,-66.67197900000001
7,00617,18.445147,-66.559696
8,00622,17.991245000000003,-67.153993
9,00623,18.083361,-67.153897
10,00624,18.064919,-66.71668299999999
11,00627,18.4126,-66.863926
12,00631,18.190607,-66.832041
13,00637,18.076713,-66.947389
14,00638,18.295913,-66.515588
15,00641,18.263085,-66.712985
16,00646,18.43315,-66.285875
17,00647,17.963613,-66.94712700000001
18,00650,18.349416,-66.578079
19,00652,18.448452,-66.594127
20,00653,17.985032999999998,-66.88653599999999
21,00656,18.053539,-66.79293100000001
22,00659,18.407226,-66.808999
23,00660,18.134695,-67.116199
24,00662,18.468320000000002,-67.015781
25,00664,18.21033,-66.591616
26,00667,18.003422,-67.03581
27,00669,18.277102,-66.86964499999999
28,00670,18.240187,-66.988776
29,00674,18.422908,-66.489337
30,00676,18.377637,-67.079574
31,00677,18.332568,-67.22702199999999
32,00678,18.434099,-66.927384
33,00680,18.182055,-67.132502
34,00682,18.221464,-67.156039
35,00683,18.1078,-67.037263
36,00685,18.332929,-66.959689
37,00687,18.319026,-66.42055699999999
38,00688,18.382264000000003,-66.62643800000001
39,00690,18.49551,-67.098671
40,00692,18.410188,-66.336556
41,00693,18.423,-66.39723199999999
42,00694,18.48237,-66.391079
43,00698,18.064848,-66.856319
44,00703,18.248401,-66.130662
45,00704,17.965770000000003,-66.219555
46,00705,18.128961,-66.266683
47,00707,18.014055,-65.920751
48,00714,18.003025,-66.046237
49,00715,18.011232999999997,-66.56006500000001
50,00716,17.99204,-66.605856
51,00717,18.003222,-66.614037
52,00718,18.231988,-65.759623
53,00719,18.289927,-66.25344
54,00720,18.217945999999998,-66.428076
55,00723,18.043498,-66.015479
56,00725,18.218819,-66.042375
57,00727,18.215308,-66.073565
58,00728,17.989853,-66.664116
59,00729,18.323585,-65.883206
60,00730,18.030831,-66.616838
61,00731,18.109947000000002,-66.635622
62,00735,18.252604,-65.68249399999999
63,00736,18.103624,-66.151667
64,00738,18.304458,-65.698711
65,00739,18.177232999999998,-66.160645
66,00740,18.331178,-65.63410400000001
67,00741,18.163854999999998,-65.754042
68,00745,18.352216000000002,-65.817387
69,00751,18.001317,-66.252183
70,00754,18.147107000000002,-65.976167
71,00757,17.995441,-66.391334
72,00765,18.130095999999998,-65.439369
73,00766,18.133195999999998,-66.476916
74,00767,18.069489,-65.89616099999999
75,00769,18.1038,-66.357586
76,00771,18.187148,-65.871189
77,00772,18.438969,-65.905174
78,00773,18.342888000000002,-65.723109
79,00775,18.326598999999998,-65.30771999999999
80,00777,18.224133,-65.90854200000001
81,00778,18.264076,-65.97851
82,00780,18.102834,-66.568105
83,00782,18.225707999999997,-66.221633
84,00783,18.303910000000002,-66.32617900000001
85,00784,18.010714,-66.133615
86,00786,18.155424,-66.229907
87,00791,18.136782,-65.821476
88,00794,18.198954999999998,-66.309833
89,00795,18.060494,-66.500624
90,00801,18.350448999999998,-64.973886
91,00802,18.340861999999998,-64.923479
92,00820,17.743072,-64.68656999999999
93,00823,17.723541,-64.745932
94,00824,17.744557,-64.68293299999999
95,00830,18.33856,-64.736533
96,00831,18.327294000000002,-64.78671999999999
97,00840,17.747872,-64.88069499999999
98,00841,17.768133,-64.807852
99,00850,17.709936,-64.750099
100,00851,17.732228,-64.77076
101,00901,18.465369,-66.104613
102,00906,18.46446,-66.094995
103,00907,18.452552999999998,-66.077838
104,00909,18.44161,-66.067132
105,00911,18.451159,-66.05619899999999
106,00912,18.445328,-66.060135
107,00913,18.450001999999998,-66.04265600000001
108,00915,18.437179,-66.045571
109,00917,18.420673999999998,-66.050105
110,00918,18.421022,-66.065789
111,00920,18.414292,-66.088042
112,00921,18.392282,-66.088555
113,00923,18.409307000000002,-66.038888
114,00924,18.399192000000003,-66.01245300000001
115,00925,18.400296,-66.050602
116,00926,18.3454,-66.05154499999999
117,00927,18.388011,-66.072089
118,00934,18.411313,-66.124234
