movie_id,imdbId,tmdbId
0,114709,862.0
1,113497,8844.0
2,113228,15602.0
3,113041,11862.0
4,113277,949.0
5,114319,11860.0
6,112302,45325.0
7,114576,9091.0
8,113189,710.0
9,112346,9087.0
10,112896,12110.0
11,112453,21032.0
12,113987,10858.0
13,112760,1408.0
14,112641,524.0
15,114388,4584.0
16,113101,5.0
17,112281,9273.0
18,113845,11517.0
19,113161,8012.0
20,112722,1710.0
21,112401,9691.0
22,114168,12665.0
23,113627,451.0
24,114057,16420.0
25,114011,9263.0
26,114117,17015.0
27,112682,902.0
28,115012,37557.0
29,112792,9909.0
30,114746,63.0
31,112431,9598.0
32,112818,687.0
33,112697,9603.0
34,112749,34615.0
35,114279,31174.0
36,112819,11443.0
37,114272,35196.0
38,113855,9312.0
39,114681,577.0
40,113347,11861.0
41,114369,807.0
42,114148,10530.0
43,114814,629.0
44,113819,11448.0
45,110299,49133.0
46,112499,26441.0
47,113158,97406.0
48,113321,9089.0
49,110877,11010.0
50,113419,11359.0
51,116260,17182.0
52,113862,2054.0
53,116126,10607.0
54,115683,9536.0
55,116839,11525.0
56,113149,4482.0
57,113118,10634.0
58,116367,755.0
59,113537,28387.0
60,113828,48750.0
61,115644,20927.0
62,114367,9102.0
63,113973,124626.0
64,112744,27526.0
65,116731,9623.0
66,112445,46785.0
67,114660,400.0
68,112379,880.0
69,112365,8447.0
70,118158,10534.0
71,115697,13997.0
72,113972,2086.0
73,117002,9095.0
74,114825,12158.0
75,115639,9283.0
76,115759,9208.0
77,113247,406.0
78,113283,63076.0
79,115907,11062.0
80,115734,13685.0
81,117102,47475.0
82,116483,9614.0
83,112579,688.0
84,110251,11907.0
85,117110,10874.0
86,112646,89333.0
87,112573,197.0
88,75314,103.0
89,113326,33542.0
90,115645,43566.0
91,112373,51352.0
92,106473,32119.0
93,103859,11066.0
94,109424,11104.0
95,116324,2074.0
96,113451,11863.0
97,116130,9101.0
98,118055,9302.0
99,115685,11000.0
100,112585,16388.0
101,112442,9737.0
102,112342,30765.0
103,112461,10474.0
104,112427,22279.0
105,112384,568.0
106,114287,11780.0
107,112462,414.0
108,61395,649.0
109,112495,1873.0
110,112541,5894.0
111,109370,1775.0
112,112642,8839.0
113,112688,20649.0
114,112715,10329.0
115,112740,8963.0
116,109508,26564.0
117,112851,8068.0
118,112857,8512.0
119,112864,1572.0
120,112887,13552.0
121,113071,6520.0
122,113243,10428.0
123,113464,17447.0
124,113481,9886.0
125,113492,9482.0
126,113500,19326.0
127,113540,9344.0
128,113677,9071.0
129,113690,8973.0
130,113749,2293.0
131,113820,9070.0
132,110604,48787.0
133,110620,34574.0
134,113957,1642.0
135,113986,11472.0
136,114095,36196.0
137,114194,11980.0
138,114323,32646.0
139,114345,10533.0
140,114436,10802.0
141,114478,10149.0
142,114496,18402.0
143,114508,9348.0
144,114558,281.0
145,58450,5967.0
146,114682,9090.0
147,114781,3512.0
148,114798,52856.0
149,114805,77350.0
150,114887,9560.0
151,114898,9804.0
152,114928,31611.0
153,114938,65796.0
154,109340,49805.0
155,112602,26258.0
156,111579,50797.0
157,110882,19155.0
158,112471,76.0
159,112508,11017.0
160,112438,37141.0
161,112571,9382.0
162,112679,22625.0
163,109445,2292.0
164,112883,1909.0
165,109635,8984.0
166,109676,4954.0
167,109579,10531.0
168,109642,11929.0
169,109686,8467.0
170,111797,10451.0
171,109759,20156.0
172,109758,18395.0
173,109707,522.0
174,113117,397.0
175,113097,10525.0
176,113028,27985.0
177,113198,15789.0
178,113089,21183.0
179,109771,10954.0
180,110057,14275.0
181,110005,1024.0
182,110066,17207.0
183,110116,13701.0
184,110006,14819.0
185,110099,11777.0
186,110148,628.0
187,110189,18713.0
188,110216,6280.0
189,113501,9061.0
190,113538,37108.0
191,113552,6071.0
192,76759,11.0
193,110367,9587.0
194,113670,19101.0
195,110296,49980.0
196,103994,18183.0
197,110322,4476.0
198,110443,11008.0
199,110391,43742.0
200,113691,28313.0
201,110428,11318.0
202,109836,3036.0
203,113755,40490.0
204,110516,8986.0
205,110527,10510.0
206,113870,8438.0
207,110684,11593.0
208,110638,1945.0
209,113967,39310.0
210,117169,109560.0
211,106402,56428.0
212,110632,241.0
213,110737,9058.0
214,110729,527.0
215,114069,6950.0
216,110413,101.0
217,110912,680.0
218,110889,40156.0
219,110932,11450.0
220,114129,30304.0
221,110963,10452.0
222,114214,12106.0
223,114296,161495.0
224,110907,3586.0
225,111495,110.0
226,108394,108.0
227,111507,109.0
228,111333,22586.0
229,111112,14334.0
230,111255,2636.0
231,111282,2164.0
232,111070,11395.0
233,111161,278.0
234,111149,9905.0
235,106966,12527.0
236,114594,20306.0
237,111309,36614.0
238,113936,27993.0
239,110081,31439.0
240,114614,9067.0
241,114608,9059.0
242,111280,193.0
243,114609,25066.0
244,114852,12122.0
245,114694,11381.0
246,111590,32636.0
247,114788,36141.0
248,108550,1587.0
249,114857,9271.0
250,114924,2064.0
251,111667,19855.0
252,109655,60855.0
253,110598,236.0
254,112435,48287.0
255,109040,3049.0
256,109045,2759.0
257,106339,12635.0
258,104779,10497.0
259,109348,11382.0
260,109444,9331.0
261,109446,10731.0
262,109484,10464.0
263,109506,9495.0
264,109450,29973.0
265,109813,888.0
266,109830,13.0
267,109831,712.0
268,110167,10660.0
269,110213,10714.0
270,107472,41647.0
271,110357,8587.0
272,107426,1689.0
273,111686,11596.0
274,110475,854.0
275,110478,9359.0
276,110588,23333.0
277,110622,36593.0
278,110771,12280.0
279,110950,2788.0
280,105226,10427.0
281,110989,11011.0
282,110997,8987.0
283,111257,1637.0
284,111438,8831.0
285,111503,36955.0
286,111693,10449.0
287,111742,10395.0
288,111756,12160.0
289,110455,52038.0
290,112570,39953.0
291,109454,41580.0
292,59170,315.0
293,110186,22067.0
294,111301,11667.0
295,113409,2654.0
296,109021,18069.0
297,106220,2758.0
298,106226,10436.0
299,109068,13595.0
300,106292,9409.0
301,109198,11853.0
302,109219,16771.0
303,106400,11041.0
304,109254,306.0
305,109279,14522.0
306,109297,26203.0
307,109303,178.0
308,109306,57834.0
309,106452,4722.0
310,106471,18215.0
311,106489,1607.0
312,106505,117553.0
313,106519,6075.0
314,109439,11310.0
315,109443,18658.0
316,106582,9350.0
317,106598,9612.0
318,109456,2124.0
319,109493,19176.0
320,106673,11566.0
321,106677,9571.0
322,106697,9739.0
323,106834,34444.0
324,106873,26141.0
325,106332,10997.0
326,106881,10443.0
327,111732,16297.0
328,106926,18551.0
329,111712,25440.0
330,106941,9024.0
331,106918,37233.0
332,106965,1634.0
333,109842,13815.0
334,106977,5503.0
335,109913,18620.0
336,107076,2019.0
337,107144,9255.0
338,113674,26271.0
339,112966,10612.0
340,107151,2259.0
341,110074,11934.0
342,107206,9386.0
343,107207,7984.0
344,108551,15765.0
345,107290,329.0
346,107302,10909.0
347,110265,507.0
348,110305,29918.0
349,107362,9593.0
350,107413,42580.0
351,110353,22317.0
352,107497,2246.0
353,107501,10502.0
354,107507,10440.0
355,107554,9516.0
356,116253,2320.0
357,74102,5879.0
358,111689,83718.0
359,107616,11971.0
360,107614,788.0
361,107653,21450.0
362,110657,11231.0
363,110687,31586.0
364,107756,9300.0
365,107808,9559.0
366,107818,9800.0
367,107822,713.0
368,107889,18133.0
369,111003,25557.0
370,110939,22588.0
371,110955,10872.0
372,107943,1245.0
373,110971,11858.0
374,107969,7007.0
375,107978,5550.0
376,107977,8005.0
377,105275,10412.0
378,108000,47889.0
379,108002,14534.0
380,105032,41878.0
381,108052,424.0
382,108065,14291.0
383,108071,11236.0
384,111127,11592.0
385,111143,8850.0
386,108101,10445.0
387,108122,695.0
388,111194,43535.0
389,111201,12519.0
390,108149,23210.0
391,108160,858.0
392,108162,867.0
393,83658,78.0
394,108186,13203.0
395,108174,10442.0
396,111323,17585.0
397,111400,9057.0
398,108328,20967.0
399,111418,10635.0
400,107688,9479.0
401,108333,10057.0
