,userId,tier,gender,following_rate,followers_avg_age,following_avg_age,max_repetitive_punc,num_of_hashtags_per_action,emoji_count_per_action,punctuations_per_action,number_of_words_per_action,avgCompletion,avgTimeSpent,avgDuration,avgComments,creations,content_views,num_of_comments,weekends_trails_watched_per_day,weekdays_trails_watched_per_day,slot1_trails_watched_per_day,slot2_trails_watched_per_day,slot3_trails_watched_per_day,slot4_trails_watched_per_day,avgt2
0,317991,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.197976334,3.85,31.08833333,0,0.0,0.123966942,0.0,0.0,0.033057851,0.165289256,0.0,0.0,0.0,0.0
1,241892,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.419876512,6.5,14.576,0,0.0,0.031746032,0.0,0.0,0.006349206,0.0,0.0,0.031746032,0.0,0.0
2,303376,2,1,0.16,1.529411765,2.176470588,0,0.0,0.0,0.0,0.029850746,0.250855513,4.558823529,38.47431481,0,0.008,0.52,0.0,0.248,0.0096,0.0,0.048,0.424,0.072,171.8571429
3,761992,2,2,0.032,1.0,2.5,0,0.0,0.0,0.0,0.0625,0.406988311,6.105263158,15.92035556,1,0.008,0.36,0.008,0.224,0.0016,0.0,0.008,0.448,0.0,343.5
4,373318,2,1,0.00952381,0.0,0.0,3,0.0,0.0,0.046875,0.34375,0.369110237,9.072289157,58.67601852,0,0.047619048,0.552380952,0.0,0.047619048,0.139047619,0.0,0.304761905,0.361904762,0.123809524,171.2
5,938770,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.42386288,6.770491803,74.46695833,0,0.0,0.456,0.0,0.244,0.0,0.0,0.0,0.264,0.224,0.0
6,676003,2,1,0.049309665,2.5,2.333333333,0,0.0,0.0,0.0,2.375,0.073754615,24.25,222.5413333,3,0.001972387,0.00591716,0.00591716,0.0,0.006311637,0.0,0.017751479,0.013806706,0.0,192.5658915
7,255073,2,1,0.024,0.0,0.0,0,0.0,0.0,0.0,0.047297297,0.346790198,16.16666667,70.94294203,0,0.024,1.152,0.0,0.5,0.088,0.0,0.424,0.376,0.64,160.8
8,468560,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.033333333,0.13993563,3.94,104.4882653,0,0.008196721,0.475409836,0.0,0.0,0.081967213,0.0,0.008196721,0.032786885,0.368852459,220.0
9,263592,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.476914933,6.75,13.8,0,0.0,0.064516129,0.0,0.032258065,0.0,0.0,0.064516129,0.0,0.0,0.0
10,660506,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.704124962,14.0,13.90666667,0,0.0,0.052631579,0.0,0.0,0.010526316,0.0,0.0,0.052631579,0.0,0.0
11,244162,2,1,0.007092199,0.0,0.0,0,0.0,0.0,0.0,0.012448133,0.293511087,10.65202703,67.19676211,0,0.035460993,1.666666667,0.0,0.606382979,0.177304965,0.184397163,0.744680851,0.219858156,0.95035461,169.125
12,774730,2,1,0.016129032,1.0,1.5,0,0.0,0.0,0.0,0.2,0.276461418,5.071428571,59.80385714,0,0.008064516,0.10483871,0.0,0.024193548,0.012903226,0.0,0.064516129,0.0,0.048387097,262.0
13,911014,2,1,0.007874016,1.8,2.0,0,0.0,0.0,0.0,0.285714286,0.155710811,18.16666667,154.1312,0,0.007874016,0.039370079,0.0,0.0,0.009448819,0.0,0.0,0.0,0.047244094,56.33333333
